Device-ID/User-ID,Timestamp,Movement Activity,Fall Detected (Yes/No),Impact Force Level,Post-Fall Inactivity Duration (Seconds),Location,Alert Triggered (Yes/No),Caregiver Notified (Yes/No),
D1083,1/26/2025 1:08,No Movement,No,-,0,Bathroom,No,No,
D1084,1/12/2025 20:30,Sitting,No,-,0,Bathroom,No,No,
D1085,1/19/2025 10:28,Lying,No,-,0,Kitchen,No,No,
D1086,1/5/2025 10:48,Lying,No,-,0,Kitchen,No,No,
D1087,1/10/2025 7:07,Walking,No,-,0,Bedroom,No,No,
D1088,1/25/2025 11:46,Lying,No,-,0,Bathroom,No,No,
D1089,1/29/2025 7:59,No Movement,No,-,0,Bathroom,No,No,
D1090,1/3/2025 16:09,Lying,No,-,0,Living Room,No,No,
D1091,1/4/2025 10:48,Sitting,No,-,0,Bedroom,No,No,
D1092,1/8/2025 0:19,Lying,No,-,0,Bathroom,No,No,
D1093,1/27/2025 8:03,Sitting,No,-,0,Bathroom,No,No,
D1094,1/27/2025 18:22,Sitting,No,-,0,Kitchen,No,No,
D1095,1/28/2025 3:52,Sitting,No,-,0,Bedroom,No,No,
D1096,1/4/2025 10:43,No Movement,No,-,0,Kitchen,No,No,
D1097,1/19/2025 16:33,Lying,No,-,0,Living Room,No,No,
D1098,1/23/2025 12:55,No Movement,No,-,0,Living Room,No,No,
D1099,1/17/2025 21:33,Sitting,No,-,0,Kitchen,No,No,
D1100,1/10/2025 6:07,Sitting,No,-,0,Living Room,No,No,
D1101,1/16/2025 20:48,Lying,No,-,0,Bedroom,No,No,
D1102,1/21/2025 4:34,Sitting,No,-,0,Bedroom,No,No,
D1103,1/8/2025 19:23,Sitting,No,-,0,Kitchen,No,No,
D1104,1/18/2025 3:08,Walking,No,-,0,Living Room,No,No,
D1105,1/27/2025 18:38,Sitting,No,-,0,Bedroom,No,No,
D1106,1/25/2025 4:13,Walking,No,-,0,Kitchen,No,No,
D1107,1/13/2025 17:59,Lying,No,-,0,Living Room,No,No,
D1108,1/4/2025 5:26,No Movement,No,-,0,Bathroom,No,No,
D1109,1/9/2025 0:44,Sitting,No,-,0,Kitchen,No,No,
D1110,1/11/2025 10:57,Lying,No,-,0,Kitchen,No,No,
D1111,1/17/2025 10:16,Sitting,No,-,0,Bathroom,No,No,
D1112,1/30/2025 10:23,No Movement,Yes,Medium,456,Bathroom,Yes,Yes,
D1113,1/22/2025 9:19,Sitting,No,-,0,Living Room,No,No,
D1114,1/23/2025 13:08,No Movement,No,-,0,Living Room,No,No,
D1115,1/25/2025 8:04,Sitting,No,-,0,Living Room,No,No,
D1116,1/18/2025 6:59,Lying,No,-,0,Bedroom,No,No,
D1117,1/1/2025 3:20,No Movement,No,-,0,Bedroom,No,No,
D1118,1/15/2025 5:49,Walking,No,-,0,Kitchen,No,No,
D1119,1/27/2025 3:47,Walking,No,-,0,Bathroom,No,No,
D1120,1/21/2025 7:17,Lying,No,-,0,Bedroom,No,No,
D1121,1/27/2025 0:54,Lying,No,-,0,Bedroom,No,No,
D1122,1/26/2025 9:56,No Movement,No,-,0,Kitchen,No,No,
D1123,1/29/2025 0:21,No Movement,No,-,0,Living Room,No,No,
D1124,1/18/2025 16:29,Lying,No,-,0,Living Room,No,No,
D1125,1/30/2025 21:25,Lying,No,-,0,Bedroom,No,No,
D1126,1/20/2025 23:47,Lying,No,-,0,Bedroom,No,No,
D1127,1/8/2025 23:32,Lying,No,-,0,Bedroom,No,No,
D1128,1/12/2025 13:44,Lying,No,-,0,Bathroom,No,No,
D1129,1/30/2025 16:07,Lying,No,-,0,Bathroom,No,No,
D1130,1/20/2025 3:20,Lying,No,-,0,Bedroom,No,No,
D1131,1/21/2025 2:32,Sitting,No,-,0,Bathroom,No,No,
D1132,1/9/2025 19:04,No Movement,Yes,Medium,286,Bedroom,Yes,Yes,
D1133,1/27/2025 4:41,Sitting,No,-,0,Bedroom,No,No,
D1134,1/4/2025 3:06,Sitting,No,-,0,Bedroom,No,No,
D1135,1/17/2025 2:26,Sitting,No,-,0,Kitchen,No,No,
D1136,1/10/2025 1:14,Lying,No,-,0,Bathroom,No,No,
D1137,1/5/2025 11:33,Walking,No,-,0,Kitchen,No,No,
D1138,1/20/2025 9:04,No Movement,No,-,0,Bathroom,No,No,
D1139,1/15/2025 4:05,Sitting,No,-,0,Kitchen,No,No,
D1140,1/21/2025 15:36,Walking,No,-,0,Living Room,No,No,
D1141,1/18/2025 11:18,Walking,No,-,0,Living Room,No,No,
D1142,1/13/2025 7:47,Lying,No,-,0,Living Room,No,No,
D1143,1/12/2025 17:41,Sitting,No,-,0,Bathroom,No,No,
D1144,1/21/2025 8:01,Lying,No,-,0,Living Room,No,No,
D1145,1/1/2025 11:10,Lying,No,-,0,Bedroom,No,No,
D1146,1/11/2025 8:31,Lying,No,-,0,Bathroom,No,No,
D1147,1/9/2025 0:36,Walking,No,-,0,Bathroom,No,No,
D1148,1/19/2025 15:49,No Movement,No,-,0,Bathroom,No,No,
D1149,1/3/2025 15:59,Lying,No,-,0,Bathroom,No,No,
D1150,1/15/2025 13:09,Walking,No,-,0,Living Room,No,No,
D1151,1/29/2025 22:35,Lying,No,-,0,Bathroom,No,No,
D1152,1/20/2025 9:37,No Movement,No,-,0,Living Room,No,No,
D1153,1/10/2025 8:43,Lying,No,-,0,Bedroom,No,No,
D1154,1/19/2025 5:24,Sitting,No,-,0,Bathroom,No,No,
D1155,1/18/2025 21:28,No Movement,Yes,Medium,71,Living Room,Yes,Yes,
D1156,1/19/2025 22:52,Walking,No,-,0,Living Room,No,No,
D1157,1/17/2025 17:33,Sitting,No,-,0,Bathroom,No,No,
D1158,1/15/2025 5:46,Walking,No,-,0,Living Room,No,No,
D1159,1/4/2025 23:09,No Movement,No,-,0,Bathroom,No,No,
D1160,1/12/2025 17:32,Sitting,No,-,0,Bedroom,No,No,
D1161,1/4/2025 15:50,Walking,No,-,0,Bedroom,No,No,
D1162,1/12/2025 22:48,Lying,No,-,0,Living Room,No,No,
D1163,1/26/2025 5:11,Sitting,No,-,0,Living Room,No,No,
D1164,1/2/2025 2:50,No Movement,No,-,0,Kitchen,No,No,
D1165,1/7/2025 5:56,No Movement,Yes,High,85,Kitchen,Yes,Yes,
D1166,1/17/2025 19:47,Lying,No,-,0,Living Room,No,No,
D1167,1/13/2025 12:26,Walking,No,-,0,Bathroom,No,No,
D1168,1/13/2025 0:58,No Movement,No,-,0,Kitchen,No,No,
D1169,1/10/2025 23:50,Walking,No,-,0,Kitchen,No,No,
D1170,1/22/2025 2:29,No Movement,No,-,0,Kitchen,No,No,
D1171,1/19/2025 18:48,No Movement,No,-,0,Living Room,No,No,
D1172,1/27/2025 4:18,Sitting,No,-,0,Bedroom,No,No,
D1173,1/28/2025 17:39,Walking,No,-,0,Bathroom,No,No,
D1174,1/28/2025 8:29,Sitting,No,-,0,Living Room,No,No,
D1175,1/4/2025 12:33,Walking,No,-,0,Bathroom,No,No,
D1176,1/12/2025 6:29,Sitting,No,-,0,Living Room,No,No,
D1177,1/5/2025 13:52,Lying,No,-,0,Living Room,No,No,
D1178,1/13/2025 8:09,Walking,No,-,0,Bedroom,No,No,
D1179,1/6/2025 8:02,Lying,No,-,0,Living Room,No,No,
D1180,1/21/2025 15:29,Sitting,No,-,0,Bedroom,No,No,
D1181,1/18/2025 9:34,No Movement,No,-,0,Bedroom,No,No,
D1182,1/1/2025 4:22,No Movement,No,-,0,Bedroom,No,No,
D1183,1/1/2025 18:33,Lying,No,-,0,Bedroom,No,No,
D1184,1/2/2025 4:41,Walking,No,-,0,Living Room,No,No,
D1185,1/12/2025 14:56,Walking,No,-,0,Bathroom,No,No,
D1186,1/17/2025 17:19,Walking,No,-,0,Bathroom,No,No,
D1187,1/21/2025 10:37,Walking,No,-,0,Bedroom,No,No,
D1188,1/25/2025 17:52,Lying,No,-,0,Bathroom,No,No,
D1189,1/9/2025 1:58,Sitting,No,-,0,Living Room,No,No,
D1190,1/9/2025 6:17,No Movement,No,-,0,Bathroom,No,No,
D1191,1/29/2025 20:54,Sitting,No,-,0,Bathroom,No,No,
D1192,1/10/2025 16:30,No Movement,Yes,Medium,360,Bathroom,Yes,Yes,
D1193,1/20/2025 12:16,No Movement,No,-,0,Kitchen,No,No,
D1194,1/28/2025 14:58,Walking,No,-,0,Bedroom,No,No,
D1195,1/7/2025 6:58,Lying,No,-,0,Living Room,No,No,
D1196,1/22/2025 19:59,No Movement,Yes,Low,193,Kitchen,No,No,
D1197,1/4/2025 4:19,Lying,No,-,0,Kitchen,No,No,
D1198,1/17/2025 23:17,Walking,No,-,0,Bedroom,No,No,
D1199,1/16/2025 3:41,No Movement,No,-,0,Kitchen,No,No,
D1200,1/6/2025 5:53,Lying,No,-,0,Living Room,No,No,
D1201,1/5/2025 11:24,No Movement,Yes,Medium,415,Bedroom,Yes,Yes,
D1202,1/17/2025 3:53,No Movement,No,-,0,Bedroom,No,No,
D1203,1/10/2025 9:28,Sitting,No,-,0,Bedroom,No,No,
D1204,1/17/2025 3:40,Walking,No,-,0,Kitchen,No,No,
D1205,1/29/2025 9:55,Sitting,No,-,0,Bedroom,No,No,
D1206,1/14/2025 5:01,Sitting,No,-,0,Bedroom,No,No,
D1207,1/11/2025 0:23,Lying,No,-,0,Bathroom,No,No,
D1208,1/15/2025 16:17,Sitting,No,-,0,Bathroom,No,No,
D1209,1/12/2025 20:03,Walking,No,-,0,Living Room,No,No,
D1210,1/29/2025 9:44,Walking,No,-,0,Bedroom,No,No,
D1211,1/29/2025 4:28,No Movement,No,-,0,Bedroom,No,No,
D1212,1/11/2025 11:44,Sitting,No,-,0,Bathroom,No,No,
D1213,1/27/2025 6:32,Lying,No,-,0,Kitchen,No,No,
D1214,1/5/2025 7:02,Sitting,No,-,0,Living Room,No,No,
D1215,1/14/2025 5:08,Sitting,No,-,0,Living Room,No,No,
D1216,1/30/2025 11:37,No Movement,No,-,0,Kitchen,No,No,
D1217,1/12/2025 10:03,No Movement,No,-,0,Kitchen,No,No,
D1218,1/17/2025 10:20,No Movement,No,-,0,Living Room,No,No,
D1219,1/21/2025 19:56,No Movement,No,-,0,Living Room,No,No,
D1220,1/7/2025 10:30,Walking,No,-,0,Bathroom,No,No,
D1221,1/24/2025 15:59,Lying,No,-,0,Living Room,No,No,
D1222,1/18/2025 0:56,Walking,No,-,0,Kitchen,No,No,
D1223,1/8/2025 8:27,Walking,No,-,0,Bedroom,No,No,
D1224,1/26/2025 3:54,Sitting,No,-,0,Bathroom,No,No,
D1225,1/28/2025 22:54,Lying,No,-,0,Bedroom,No,No,
D1226,1/23/2025 6:23,No Movement,No,-,0,Kitchen,No,No,
D1227,1/18/2025 10:56,No Movement,No,-,0,Living Room,No,No,
D1228,1/2/2025 0:02,Lying,No,-,0,Bathroom,No,No,
D1229,1/23/2025 7:45,Walking,No,-,0,Bedroom,No,No,
D1230,1/16/2025 2:25,Sitting,No,-,0,Living Room,No,No,
D1231,1/7/2025 7:40,No Movement,No,-,0,Living Room,No,No,
D1232,1/20/2025 5:41,No Movement,No,-,0,Bedroom,No,No,
D1233,1/5/2025 21:55,Sitting,No,-,0,Bedroom,No,No,
D1234,1/18/2025 22:59,Walking,No,-,0,Living Room,No,No,
D1235,1/1/2025 13:04,Walking,No,-,0,Bedroom,No,No,
D1236,1/13/2025 20:17,Lying,No,-,0,Kitchen,No,No,
D1237,1/12/2025 4:53,Lying,No,-,0,Living Room,No,No,
D1238,1/3/2025 2:41,Lying,No,-,0,Living Room,No,No,
D1239,1/30/2025 7:12,Sitting,No,-,0,Living Room,No,No,
D1240,1/3/2025 19:54,Sitting,No,-,0,Kitchen,No,No,
D1241,1/28/2025 2:52,Walking,No,-,0,Bathroom,No,No,
D1242,1/27/2025 3:17,Walking,No,-,0,Bathroom,No,No,
D1243,1/22/2025 19:28,Lying,No,-,0,Kitchen,No,No,
D1244,1/23/2025 10:32,Sitting,No,-,0,Kitchen,No,No,
D1245,1/25/2025 17:41,No Movement,No,-,0,Bathroom,No,No,
D1246,1/3/2025 20:44,Sitting,No,-,0,Kitchen,No,No,
D1247,1/21/2025 10:58,Lying,No,-,0,Kitchen,No,No,
D1248,1/29/2025 23:05,No Movement,No,-,0,Bedroom,No,No,
D1249,1/21/2025 17:00,No Movement,No,-,0,Bedroom,No,No,
D1250,1/17/2025 21:03,Lying,No,-,0,Bedroom,No,No,
D1251,1/30/2025 11:26,Sitting,No,-,0,Bathroom,No,No,
D1252,1/27/2025 0:53,Walking,No,-,0,Bathroom,No,No,
D1253,1/29/2025 19:44,Walking,No,-,0,Bedroom,No,No,
D1254,1/25/2025 13:54,Lying,No,-,0,Bathroom,No,No,
D1255,1/19/2025 5:31,No Movement,Yes,Medium,102,Living Room,Yes,Yes,
D1256,1/15/2025 21:11,Walking,No,-,0,Bedroom,No,No,
D1257,1/19/2025 2:03,No Movement,No,-,0,Bedroom,No,No,
D1258,1/27/2025 12:44,Sitting,No,-,0,Bathroom,No,No,
D1259,1/4/2025 23:26,No Movement,No,-,0,Bedroom,No,No,
D1260,1/24/2025 5:57,No Movement,No,-,0,Bathroom,No,No,
D1261,1/25/2025 14:19,Lying,No,-,0,Bathroom,No,No,
D1262,1/3/2025 11:06,No Movement,No,-,0,Bedroom,No,No,
D1263,1/8/2025 15:14,Lying,No,-,0,Kitchen,No,No,
D1264,1/18/2025 3:40,Sitting,No,-,0,Bathroom,No,No,
D1265,1/8/2025 7:09,No Movement,No,-,0,Living Room,No,No,
D1266,1/30/2025 8:28,Sitting,No,-,0,Bathroom,No,No,
D1267,1/29/2025 21:22,Walking,No,-,0,Bathroom,No,No,
D1268,1/13/2025 11:22,No Movement,No,-,0,Living Room,No,No,
D1269,1/25/2025 21:27,Lying,No,-,0,Kitchen,No,No,
D1270,1/25/2025 15:36,Walking,No,-,0,Kitchen,No,No,
D1271,1/25/2025 21:22,Lying,No,-,0,Bathroom,No,No,
D1272,1/16/2025 22:44,Walking,No,-,0,Bathroom,No,No,
D1273,1/22/2025 22:16,Walking,No,-,0,Living Room,No,No,
D1274,1/23/2025 4:18,Sitting,No,-,0,Kitchen,No,No,
D1275,1/30/2025 5:15,Lying,No,-,0,Living Room,No,No,
D1276,1/28/2025 16:12,Sitting,No,-,0,Bathroom,No,No,
D1277,1/3/2025 4:51,No Movement,No,-,0,Living Room,No,No,
D1278,1/1/2025 3:03,Sitting,No,-,0,Bathroom,No,No,
D1279,1/5/2025 5:36,Walking,No,-,0,Kitchen,No,No,
D1280,1/26/2025 18:20,Lying,No,-,0,Bedroom,No,No,
D1281,1/19/2025 12:17,No Movement,No,-,0,Kitchen,No,No,
D1282,1/30/2025 21:20,Sitting,No,-,0,Kitchen,No,No,
D1283,1/2/2025 4:18,Walking,No,-,0,Living Room,No,No,
D1284,1/13/2025 9:12,Sitting,No,-,0,Bathroom,No,No,
D1285,1/5/2025 10:58,No Movement,No,-,0,Bedroom,No,No,
D1286,1/8/2025 14:43,No Movement,Yes,Low,491,Kitchen,No,No,
D1287,1/17/2025 21:56,No Movement,No,-,0,Kitchen,No,No,
D1288,1/22/2025 18:50,Lying,No,-,0,Bedroom,No,No,
D1289,1/16/2025 7:25,Walking,No,-,0,Bedroom,No,No,
D1290,1/17/2025 10:06,Lying,No,-,0,Bedroom,No,No,
D1291,1/4/2025 20:41,No Movement,No,-,0,Living Room,No,No,
D1292,1/23/2025 10:54,Sitting,No,-,0,Living Room,No,No,
D1293,1/20/2025 6:39,Walking,No,-,0,Bedroom,No,No,
D1294,1/25/2025 18:23,No Movement,No,-,0,Kitchen,No,No,
D1295,1/14/2025 16:20,Sitting,No,-,0,Living Room,No,No,
D1296,1/4/2025 2:51,Lying,No,-,0,Bedroom,No,No,
D1297,1/29/2025 16:46,Walking,No,-,0,Bathroom,No,No,
D1298,1/29/2025 17:08,Lying,No,-,0,Bathroom,No,No,
D1299,1/25/2025 9:26,Walking,No,-,0,Bathroom,No,No,
D1300,1/16/2025 1:28,Sitting,No,-,0,Kitchen,No,No,
D1301,1/2/2025 3:18,Walking,No,-,0,Kitchen,No,No,
D1302,1/6/2025 20:03,Walking,No,-,0,Kitchen,No,No,
D1303,1/29/2025 5:47,Lying,No,-,0,Bedroom,No,No,
D1304,1/12/2025 0:45,Lying,No,-,0,Living Room,No,No,
D1305,1/3/2025 8:16,Lying,No,-,0,Bedroom,No,No,
D1306,1/22/2025 17:55,No Movement,No,-,0,Kitchen,No,No,
D1307,1/21/2025 14:39,Sitting,No,-,0,Living Room,No,No,
D1308,1/8/2025 21:40,Walking,No,-,0,Bathroom,No,No,
D1309,1/13/2025 1:09,Walking,No,-,0,Kitchen,No,No,
D1310,1/26/2025 10:28,Walking,No,-,0,Kitchen,No,No,
D1311,1/14/2025 12:46,Lying,No,-,0,Bedroom,No,No,
D1312,1/14/2025 9:52,No Movement,No,-,0,Kitchen,No,No,
D1313,1/15/2025 2:36,No Movement,No,-,0,Living Room,No,No,
D1314,1/25/2025 20:38,Walking,No,-,0,Bathroom,No,No,
D1315,1/5/2025 12:19,Walking,No,-,0,Living Room,No,No,
D1316,1/23/2025 0:23,Sitting,No,-,0,Kitchen,No,No,
D1317,1/28/2025 20:58,Lying,No,-,0,Living Room,No,No,
D1318,1/12/2025 9:16,Sitting,No,-,0,Living Room,No,No,
D1319,1/16/2025 15:05,Sitting,No,-,0,Kitchen,No,No,
D1320,1/1/2025 18:46,Sitting,No,-,0,Bathroom,No,No,
D1321,1/23/2025 0:49,No Movement,No,-,0,Kitchen,No,No,
D1322,1/12/2025 11:04,Walking,No,-,0,Kitchen,No,No,
D1323,1/12/2025 13:49,Sitting,No,-,0,Bathroom,No,No,
D1324,1/13/2025 10:07,No Movement,No,-,0,Bedroom,No,No,
D1325,1/9/2025 11:23,Walking,No,-,0,Kitchen,No,No,
D1326,1/18/2025 22:55,Lying,No,-,0,Bathroom,No,No,
D1327,1/5/2025 1:49,Lying,No,-,0,Bathroom,No,No,
D1328,1/27/2025 1:10,No Movement,No,-,0,Living Room,No,No,
D1329,1/22/2025 17:11,Sitting,No,-,0,Bathroom,No,No,
D1330,1/16/2025 11:51,No Movement,No,-,0,Living Room,No,No,
D1331,1/14/2025 10:59,Lying,No,-,0,Living Room,No,No,
D1332,1/27/2025 3:19,No Movement,Yes,Medium,473,Bedroom,Yes,Yes,
D1333,1/4/2025 0:34,Walking,No,-,0,Bedroom,No,No,
D1334,1/13/2025 10:25,No Movement,No,-,0,Bathroom,No,No,
D1335,1/15/2025 2:57,Lying,No,-,0,Bedroom,No,No,
D1336,1/3/2025 20:29,Sitting,No,-,0,Kitchen,No,No,
D1337,1/26/2025 3:26,Sitting,No,-,0,Bedroom,No,No,
D1338,1/10/2025 21:53,No Movement,No,-,0,Bedroom,No,No,
D1339,1/11/2025 9:15,Sitting,No,-,0,Bedroom,No,No,
D1340,1/1/2025 8:04,Lying,No,-,0,Bathroom,No,No,
D1341,1/9/2025 20:24,No Movement,No,-,0,Bedroom,No,No,
D1342,1/13/2025 10:33,Lying,No,-,0,Bedroom,No,No,
D1343,1/28/2025 0:23,Walking,No,-,0,Bathroom,No,No,
D1344,1/5/2025 3:52,Walking,No,-,0,Bathroom,No,No,
D1345,1/6/2025 14:33,Sitting,No,-,0,Bathroom,No,No,
D1346,1/11/2025 23:26,Walking,No,-,0,Bathroom,No,No,
D1347,1/29/2025 22:35,Walking,No,-,0,Living Room,No,No,
D1348,1/27/2025 7:08,Walking,No,-,0,Living Room,No,No,
D1349,1/12/2025 21:29,No Movement,No,-,0,Living Room,No,No,
D1350,1/4/2025 10:35,Lying,No,-,0,Bathroom,No,No,
D1351,1/18/2025 13:38,No Movement,No,-,0,Bedroom,No,No,
D1352,1/9/2025 15:25,No Movement,Yes,Low,351,Kitchen,No,No,
D1353,1/9/2025 23:07,Walking,No,-,0,Bedroom,No,No,
D1354,1/18/2025 19:02,Sitting,No,-,0,Bedroom,No,No,
D1355,1/28/2025 8:20,Walking,No,-,0,Kitchen,No,No,
D1356,1/8/2025 17:43,Lying,No,-,0,Living Room,No,No,
D1357,1/28/2025 15:51,Sitting,No,-,0,Bathroom,No,No,
D1358,1/7/2025 10:58,Lying,No,-,0,Bathroom,No,No,
D1359,1/21/2025 17:30,No Movement,No,-,0,Living Room,No,No,
D1360,1/16/2025 21:21,Lying,No,-,0,Kitchen,No,No,
D1361,1/9/2025 11:53,Lying,No,-,0,Bathroom,No,No,
D1362,1/26/2025 6:14,Sitting,No,-,0,Kitchen,No,No,
D1363,1/24/2025 11:41,No Movement,No,-,0,Kitchen,No,No,
D1364,1/24/2025 3:30,Lying,No,-,0,Bedroom,No,No,
D1365,1/2/2025 19:27,Walking,No,-,0,Bathroom,No,No,
D1366,1/9/2025 21:20,No Movement,No,-,0,Kitchen,No,No,
D1367,1/2/2025 20:42,Sitting,No,-,0,Living Room,No,No,
D1368,1/17/2025 21:06,Walking,No,-,0,Living Room,No,No,
D1369,1/6/2025 0:14,Lying,No,-,0,Kitchen,No,No,
D1370,1/20/2025 14:33,Sitting,No,-,0,Bedroom,No,No,
D1371,1/18/2025 7:17,No Movement,No,-,0,Bedroom,No,No,
D1372,1/30/2025 18:07,Lying,No,-,0,Bathroom,No,No,
D1373,1/28/2025 23:17,No Movement,No,-,0,Living Room,No,No,
D1374,1/17/2025 3:37,Sitting,No,-,0,Bathroom,No,No,
D1375,1/9/2025 3:40,Lying,No,-,0,Living Room,No,No,
D1376,1/27/2025 2:48,Walking,No,-,0,Kitchen,No,No,
D1377,1/7/2025 4:59,Walking,No,-,0,Bathroom,No,No,
