Device-ID/User-ID,Timestamp,Reminder Type,Scheduled Time,Reminder Sent (Yes/No),Acknowledged (Yes/No),
D1053,1/21/2025 5:21,Appointment,8:30:00,Yes,Yes,
D1054,1/30/2025 10:13,Exercise,7:30:00,No,No,
D1055,1/15/2025 18:23,Hydration,13:30:00,No,No,
D1056,1/23/2025 23:49,Appointment,12:00:00,Yes,Yes,
D1057,1/22/2025 9:22,Medication,15:00:00,No,No,
D1058,1/13/2025 20:51,Exercise,21:00:00,Yes,No,
D1059,1/30/2025 0:40,Appointment,10:00:00,No,No,
D1060,1/28/2025 17:28,Exercise,15:00:00,No,No,
D1061,1/28/2025 9:49,Hydration,10:30:00,No,No,
D1062,1/27/2025 9:27,Exercise,8:30:00,Yes,Yes,
D1063,1/22/2025 16:24,Medication,7:30:00,No,No,
D1064,1/8/2025 13:42,Appointment,8:00:00,Yes,Yes,
D1065,1/23/2025 9:40,Medication,6:30:00,Yes,Yes,
D1066,1/16/2025 12:34,Exercise,18:00:00,Yes,Yes,
D1067,1/3/2025 8:17,Appointment,17:30:00,Yes,Yes,
D1068,1/7/2025 18:50,Exercise,21:30:00,Yes,Yes,
D1069,1/27/2025 0:35,Hydration,12:00:00,No,No,
D1070,1/4/2025 12:52,Hydration,10:30:00,No,No,
D1071,1/30/2025 1:02,Hydration,21:00:00,No,No,
D1072,1/10/2025 16:48,Exercise,19:00:00,No,No,
D1073,1/21/2025 10:36,Hydration,22:00:00,Yes,No,
D1074,1/28/2025 9:26,Medication,18:00:00,Yes,Yes,
D1075,1/14/2025 18:56,Appointment,21:00:00,No,No,
D1076,1/25/2025 9:03,Medication,22:30:00,No,No,
D1077,1/19/2025 8:57,Exercise,13:30:00,Yes,Yes,
D1078,1/20/2025 12:14,Appointment,12:30:00,No,No,
D1079,1/28/2025 10:55,Medication,18:00:00,No,No,
D1080,1/28/2025 15:48,Exercise,9:00:00,No,No,
D1081,1/29/2025 4:23,Appointment,13:30:00,No,No,
D1082,1/30/2025 22:16,Medication,9:00:00,Yes,Yes,
D1083,1/19/2025 14:58,Medication,10:00:00,Yes,Yes,
D1084,1/3/2025 21:50,Medication,20:00:00,No,No,
D1085,1/19/2025 1:03,Medication,12:00:00,No,No,
D1086,1/21/2025 1:15,Medication,6:30:00,No,No,
D1087,1/28/2025 6:56,Hydration,22:30:00,No,No,
D1088,1/18/2025 16:04,Appointment,21:30:00,No,No,
D1089,1/11/2025 22:20,Exercise,14:00:00,Yes,Yes,
D1090,1/14/2025 14:11,Exercise,19:00:00,No,No,
D1091,1/18/2025 19:11,Exercise,15:30:00,Yes,Yes,
D1092,1/21/2025 10:45,Medication,22:30:00,Yes,Yes,
D1093,1/12/2025 10:42,Exercise,14:00:00,Yes,Yes,
D1094,1/23/2025 22:43,Appointment,16:30:00,Yes,No,
D1095,1/4/2025 23:37,Medication,17:00:00,Yes,Yes,
D1096,1/8/2025 14:39,Hydration,13:30:00,No,No,
D1097,1/27/2025 9:05,Medication,8:30:00,No,No,
D1098,1/26/2025 5:38,Appointment,17:00:00,Yes,Yes,
D1099,1/2/2025 8:10,Appointment,15:30:00,No,No,
D1100,1/21/2025 11:49,Appointment,7:30:00,Yes,Yes,
D1101,1/21/2025 9:39,Appointment,16:00:00,Yes,Yes,
D1102,1/7/2025 19:34,Appointment,6:00:00,No,No,
D1103,1/24/2025 17:25,Medication,6:30:00,Yes,Yes,
D1104,1/16/2025 5:06,Appointment,20:00:00,No,No,
D1105,1/19/2025 17:29,Appointment,13:30:00,No,No,
D1106,1/27/2025 11:07,Appointment,16:30:00,No,No,
D1107,1/24/2025 11:04,Appointment,14:30:00,Yes,Yes,
D1108,1/3/2025 16:59,Hydration,9:30:00,No,No,
D1109,1/18/2025 14:11,Exercise,6:30:00,Yes,No,
D1110,1/5/2025 17:34,Medication,11:30:00,Yes,No,
D1111,1/30/2025 11:51,Medication,15:30:00,No,No,
D1112,1/30/2025 0:52,Appointment,9:00:00,No,No,
D1113,1/21/2025 18:02,Appointment,11:30:00,No,No,
D1114,1/18/2025 6:40,Hydration,16:30:00,Yes,Yes,
D1115,1/15/2025 3:42,Medication,13:30:00,Yes,Yes,
D1116,1/22/2025 23:43,Hydration,21:00:00,Yes,Yes,
D1117,1/14/2025 10:43,Exercise,17:00:00,No,No,
D1118,1/21/2025 17:37,Hydration,7:00:00,Yes,Yes,
D1119,1/25/2025 7:47,Exercise,15:30:00,Yes,Yes,
D1120,1/21/2025 20:25,Exercise,7:30:00,Yes,Yes,
D1121,1/12/2025 17:07,Hydration,6:00:00,No,No,
D1122,1/3/2025 0:06,Exercise,18:30:00,No,No,
D1123,1/14/2025 5:56,Appointment,13:00:00,No,No,
D1124,1/12/2025 20:35,Exercise,9:30:00,No,No,
D1125,1/25/2025 21:37,Hydration,11:30:00,Yes,Yes,
D1126,1/27/2025 16:45,Appointment,14:30:00,No,No,
D1127,1/14/2025 5:46,Appointment,12:30:00,Yes,Yes,
D1128,1/27/2025 5:53,Medication,6:30:00,Yes,No,
D1129,1/23/2025 20:51,Hydration,6:30:00,Yes,Yes,
D1130,1/27/2025 13:22,Appointment,15:30:00,Yes,Yes,
D1131,1/7/2025 18:54,Medication,11:30:00,Yes,Yes,
D1132,1/18/2025 3:04,Medication,8:00:00,No,No,
D1133,1/1/2025 16:53,Hydration,14:30:00,Yes,Yes,
D1134,1/3/2025 10:15,Medication,13:30:00,Yes,Yes,
D1135,1/4/2025 6:20,Appointment,15:00:00,Yes,Yes,
D1136,1/8/2025 20:05,Medication,7:30:00,No,No,
D1137,1/1/2025 0:57,Exercise,18:30:00,No,No,
D1138,1/19/2025 13:49,Hydration,22:30:00,No,No,
D1139,1/17/2025 10:01,Exercise,7:30:00,Yes,Yes,
D1140,1/11/2025 14:32,Exercise,17:30:00,No,No,
D1141,1/4/2025 23:31,Exercise,16:00:00,Yes,No,
D1142,1/25/2025 10:48,Medication,19:00:00,Yes,Yes,
D1143,1/11/2025 10:33,Medication,11:30:00,Yes,Yes,
D1144,1/28/2025 19:18,Appointment,8:00:00,Yes,Yes,
D1145,1/6/2025 8:32,Appointment,10:00:00,No,No,
D1146,1/16/2025 10:33,Hydration,7:00:00,No,No,
D1147,1/13/2025 23:41,Exercise,8:30:00,Yes,Yes,
D1148,1/20/2025 1:51,Hydration,12:30:00,No,No,
D1149,1/25/2025 12:31,Medication,19:00:00,No,No,
D1150,1/13/2025 15:27,Medication,14:30:00,No,No,
D1151,1/21/2025 2:30,Exercise,15:30:00,No,No,
D1152,1/27/2025 10:44,Appointment,13:30:00,No,No,
D1153,1/22/2025 23:11,Medication,19:00:00,No,No,
D1154,1/14/2025 4:34,Exercise,21:00:00,Yes,Yes,
D1155,1/13/2025 6:30,Medication,9:00:00,Yes,Yes,
D1156,1/13/2025 7:51,Medication,12:30:00,Yes,Yes,
D1157,1/6/2025 23:02,Medication,7:30:00,Yes,Yes,
D1158,1/13/2025 10:47,Medication,20:30:00,No,No,
D1159,1/1/2025 14:40,Hydration,17:00:00,No,No,
D1160,1/21/2025 21:44,Appointment,12:30:00,Yes,Yes,
D1161,1/20/2025 0:21,Exercise,16:00:00,Yes,No,
D1162,1/26/2025 10:44,Hydration,15:30:00,Yes,Yes,
D1163,1/1/2025 3:48,Hydration,15:30:00,No,No,
D1164,1/16/2025 19:59,Exercise,20:00:00,No,No,
D1165,1/24/2025 20:08,Exercise,15:00:00,Yes,Yes,
D1166,1/20/2025 4:12,Appointment,17:30:00,No,No,
D1167,1/16/2025 5:15,Exercise,14:00:00,Yes,Yes,
D1168,1/18/2025 5:29,Hydration,20:00:00,Yes,Yes,
D1169,1/26/2025 12:18,Medication,22:30:00,Yes,No,
D1170,1/19/2025 19:51,Appointment,21:30:00,Yes,Yes,
D1171,1/19/2025 23:24,Hydration,15:00:00,No,No,
D1172,1/29/2025 8:35,Appointment,14:00:00,No,No,
D1173,1/22/2025 9:30,Medication,14:00:00,Yes,Yes,
D1174,1/15/2025 22:39,Exercise,19:00:00,No,No,
D1175,1/24/2025 16:12,Exercise,6:00:00,Yes,No,
D1176,1/30/2025 15:02,Appointment,8:30:00,Yes,No,
D1177,1/24/2025 1:27,Medication,6:30:00,No,No,
D1178,1/18/2025 3:37,Exercise,16:00:00,Yes,Yes,
D1179,1/22/2025 21:26,Hydration,21:00:00,No,No,
D1180,1/7/2025 20:19,Exercise,11:00:00,Yes,Yes,
D1181,1/10/2025 10:19,Exercise,13:00:00,Yes,Yes,
D1182,1/24/2025 12:12,Appointment,9:00:00,No,No,
D1183,1/7/2025 2:26,Medication,17:30:00,Yes,Yes,
D1184,1/30/2025 6:13,Hydration,11:30:00,No,No,
D1185,1/20/2025 17:52,Appointment,21:00:00,Yes,No,
D1186,1/7/2025 7:01,Exercise,13:30:00,No,No,
D1187,1/30/2025 12:21,Medication,15:00:00,No,No,
D1188,1/3/2025 19:13,Hydration,14:00:00,Yes,No,
D1189,1/13/2025 12:48,Appointment,13:00:00,Yes,Yes,
D1190,1/19/2025 13:18,Medication,17:30:00,No,No,
D1191,1/6/2025 13:07,Exercise,14:30:00,No,No,
D1192,1/12/2025 12:05,Appointment,7:30:00,Yes,Yes,
D1193,1/21/2025 5:08,Hydration,14:00:00,No,No,
D1194,1/3/2025 20:56,Exercise,16:30:00,Yes,Yes,
D1195,1/11/2025 8:32,Medication,22:30:00,No,No,
D1196,1/24/2025 8:01,Appointment,15:30:00,No,No,
D1197,1/14/2025 8:56,Medication,13:00:00,Yes,Yes,
D1198,1/11/2025 15:04,Exercise,14:00:00,No,No,
D1199,1/4/2025 16:51,Exercise,14:30:00,No,No,
D1200,1/12/2025 1:04,Hydration,13:30:00,No,No,
D1201,1/2/2025 6:18,Appointment,6:00:00,No,No,
D1202,1/1/2025 0:10,Hydration,10:00:00,No,No,
D1203,1/8/2025 15:42,Hydration,21:30:00,No,No,
D1204,1/18/2025 19:48,Medication,18:00:00,Yes,Yes,
D1205,1/4/2025 7:45,Medication,15:30:00,Yes,Yes,
D1206,1/25/2025 13:38,Appointment,10:00:00,No,No,
D1207,1/5/2025 9:24,Medication,21:30:00,No,No,
D1208,1/30/2025 7:46,Exercise,8:30:00,Yes,Yes,
D1209,1/12/2025 1:58,Medication,9:00:00,Yes,Yes,
D1210,1/12/2025 21:23,Hydration,14:30:00,No,No,
D1211,1/21/2025 12:19,Hydration,12:00:00,No,No,
D1212,1/20/2025 9:39,Appointment,10:00:00,Yes,Yes,
D1213,1/23/2025 11:51,Medication,8:00:00,No,No,
D1214,1/17/2025 21:39,Appointment,14:00:00,No,No,
D1215,1/10/2025 23:30,Appointment,15:30:00,No,No,
D1216,1/16/2025 22:06,Appointment,13:30:00,No,No,
D1217,1/8/2025 20:15,Medication,21:30:00,No,No,
D1218,1/15/2025 12:57,Appointment,22:00:00,No,No,
D1219,1/12/2025 11:26,Exercise,16:30:00,Yes,Yes,
D1220,1/18/2025 7:35,Hydration,8:00:00,Yes,No,
D1221,1/3/2025 6:59,Hydration,14:30:00,No,No,
D1222,1/19/2025 20:35,Appointment,16:30:00,Yes,Yes,
D1223,1/18/2025 3:18,Appointment,9:30:00,No,No,
D1224,1/20/2025 7:43,Hydration,11:30:00,Yes,Yes,
D1225,1/22/2025 19:55,Hydration,14:30:00,No,No,
D1226,1/17/2025 15:35,Exercise,20:30:00,Yes,Yes,
D1227,1/7/2025 18:32,Hydration,12:00:00,No,No,
D1228,1/25/2025 21:15,Medication,16:30:00,No,No,
D1229,1/2/2025 22:22,Appointment,16:30:00,No,No,
D1230,1/8/2025 16:44,Medication,17:30:00,Yes,Yes,
D1231,1/10/2025 8:26,Appointment,15:00:00,No,No,
D1232,1/16/2025 1:35,Appointment,14:00:00,Yes,Yes,
D1233,1/5/2025 1:17,Hydration,21:30:00,No,No,
D1234,1/20/2025 20:21,Appointment,11:00:00,Yes,Yes,
D1235,1/12/2025 14:48,Appointment,20:00:00,No,No,
D1236,1/10/2025 18:21,Exercise,20:30:00,No,No,
D1237,1/20/2025 8:20,Medication,19:00:00,No,No,
D1238,1/9/2025 8:14,Medication,19:00:00,No,No,
D1239,1/2/2025 17:21,Appointment,16:00:00,Yes,Yes,
D1240,1/23/2025 19:41,Exercise,6:00:00,Yes,Yes,
D1241,1/16/2025 6:30,Exercise,11:30:00,Yes,Yes,
D1242,1/11/2025 16:48,Hydration,22:30:00,No,No,
D1243,1/17/2025 19:27,Exercise,19:00:00,No,No,
D1244,1/14/2025 9:39,Medication,14:30:00,No,No,
D1245,1/28/2025 1:51,Appointment,20:00:00,Yes,Yes,
D1246,1/25/2025 22:09,Hydration,15:30:00,No,No,
D1247,1/24/2025 15:06,Hydration,18:30:00,Yes,Yes,
D1248,1/7/2025 8:54,Exercise,18:00:00,No,No,
D1249,1/22/2025 21:25,Hydration,10:00:00,Yes,Yes,
D1250,1/23/2025 22:08,Appointment,20:00:00,Yes,Yes,
D1251,1/12/2025 10:52,Exercise,18:00:00,No,No,
D1252,1/24/2025 3:33,Appointment,14:30:00,No,No,
D1253,1/5/2025 7:07,Medication,15:30:00,Yes,Yes,
D1254,1/11/2025 11:29,Appointment,6:00:00,No,No,
D1255,1/20/2025 19:28,Medication,8:00:00,Yes,Yes,
D1256,1/7/2025 16:46,Medication,21:30:00,No,No,
D1257,1/14/2025 7:25,Medication,16:00:00,No,No,
D1258,1/2/2025 1:15,Exercise,20:00:00,No,No,
D1259,1/7/2025 12:02,Appointment,19:30:00,No,No,
D1260,1/26/2025 19:14,Medication,6:30:00,No,No,
D1261,1/17/2025 3:21,Exercise,16:00:00,No,No,
D1262,1/29/2025 18:46,Hydration,16:30:00,Yes,Yes,
D1263,1/5/2025 4:04,Hydration,19:30:00,No,No,
D1264,1/3/2025 17:34,Hydration,10:30:00,Yes,Yes,
D1265,1/17/2025 8:47,Hydration,9:30:00,No,No,
D1266,1/26/2025 9:53,Hydration,10:30:00,Yes,Yes,
D1267,1/14/2025 9:45,Medication,14:00:00,Yes,No,
D1268,1/15/2025 0:00,Appointment,7:30:00,No,No,
D1269,1/6/2025 2:15,Appointment,11:30:00,Yes,Yes,
D1270,1/20/2025 21:39,Medication,11:00:00,No,No,
D1271,1/29/2025 0:31,Medication,12:30:00,Yes,Yes,
D1272,1/8/2025 11:00,Exercise,10:30:00,No,No,
D1273,1/3/2025 22:02,Exercise,6:00:00,Yes,Yes,
D1274,1/21/2025 18:26,Appointment,14:30:00,No,No,
D1275,1/18/2025 4:05,Exercise,13:30:00,Yes,No,
D1276,1/18/2025 23:01,Exercise,19:30:00,Yes,No,
D1277,1/17/2025 12:22,Appointment,13:00:00,Yes,Yes,
D1278,1/9/2025 16:25,Appointment,8:30:00,Yes,No,
D1279,1/12/2025 8:56,Hydration,21:00:00,No,No,
D1280,1/26/2025 10:03,Hydration,18:00:00,Yes,No,
D1281,1/4/2025 5:44,Exercise,19:00:00,No,No,
D1282,1/7/2025 7:00,Exercise,18:30:00,No,No,
D1283,1/13/2025 1:03,Medication,20:30:00,Yes,No,
D1284,1/2/2025 10:15,Hydration,12:30:00,No,No,
D1285,1/13/2025 0:59,Appointment,8:30:00,Yes,Yes,
D1286,1/11/2025 5:06,Appointment,20:00:00,Yes,No,
D1287,1/14/2025 19:32,Medication,6:30:00,Yes,Yes,
D1288,1/27/2025 12:22,Hydration,13:00:00,Yes,Yes,
D1289,1/12/2025 23:46,Medication,6:30:00,No,No,
D1290,1/14/2025 23:48,Hydration,14:30:00,No,No,
D1291,1/17/2025 23:53,Medication,13:30:00,No,No,
D1292,1/18/2025 14:19,Exercise,10:30:00,Yes,Yes,
D1293,1/21/2025 14:35,Appointment,9:30:00,Yes,No,
D1294,1/2/2025 1:14,Hydration,16:00:00,Yes,Yes,
D1295,1/24/2025 19:42,Hydration,9:30:00,No,No,
D1296,1/8/2025 14:53,Exercise,10:30:00,Yes,No,
D1297,1/26/2025 21:13,Exercise,14:30:00,Yes,Yes,
D1298,1/8/2025 6:18,Hydration,10:00:00,No,No,
D1299,1/4/2025 17:08,Medication,15:30:00,Yes,Yes,
D1300,1/1/2025 3:59,Appointment,14:00:00,No,No,
D1301,1/13/2025 12:45,Appointment,21:00:00,Yes,Yes,
D1302,1/19/2025 22:55,Exercise,13:30:00,Yes,Yes,
D1303,1/22/2025 9:26,Exercise,18:30:00,No,No,
D1304,1/16/2025 20:47,Appointment,14:00:00,No,No,
D1305,1/19/2025 23:59,Exercise,18:30:00,Yes,Yes,
D1306,1/6/2025 5:59,Exercise,19:30:00,No,No,
D1307,1/25/2025 3:31,Appointment,16:30:00,No,No,
D1308,1/6/2025 21:45,Medication,22:30:00,Yes,No,
D1309,1/7/2025 2:45,Exercise,18:30:00,Yes,Yes,
D1310,1/19/2025 10:13,Appointment,15:30:00,Yes,Yes,
D1311,1/5/2025 13:22,Hydration,8:30:00,No,No,
D1312,1/18/2025 3:36,Hydration,20:30:00,Yes,Yes,
D1313,1/6/2025 3:43,Hydration,9:30:00,No,No,
D1314,1/3/2025 15:22,Hydration,18:30:00,No,No,
D1315,1/9/2025 3:36,Hydration,20:00:00,No,No,
D1316,1/17/2025 0:40,Hydration,21:00:00,No,No,
D1317,1/7/2025 13:21,Exercise,8:30:00,Yes,Yes,
D1318,1/9/2025 6:42,Hydration,17:30:00,No,No,
D1319,1/26/2025 3:24,Hydration,13:30:00,No,No,
D1320,1/7/2025 13:14,Hydration,14:30:00,Yes,Yes,
D1321,1/10/2025 10:40,Medication,20:30:00,No,No,
D1322,1/22/2025 17:05,Exercise,22:00:00,No,No,
D1323,1/20/2025 1:57,Appointment,20:30:00,No,No,
D1324,1/2/2025 2:57,Hydration,12:30:00,No,No,
D1325,1/19/2025 23:43,Exercise,18:00:00,No,No,
D1326,1/16/2025 23:43,Medication,22:00:00,Yes,Yes,
D1327,1/13/2025 16:02,Appointment,16:30:00,Yes,Yes,
D1328,1/19/2025 22:32,Exercise,20:30:00,Yes,Yes,
D1329,1/4/2025 7:17,Appointment,12:00:00,No,No,
D1330,1/9/2025 21:11,Medication,10:30:00,No,No,
D1331,1/16/2025 9:09,Appointment,12:00:00,No,No,
D1332,1/2/2025 8:40,Appointment,18:30:00,Yes,Yes,
D1333,1/20/2025 22:16,Hydration,8:00:00,Yes,Yes,
D1334,1/17/2025 10:21,Medication,16:00:00,Yes,Yes,
D1335,1/20/2025 22:49,Appointment,14:00:00,Yes,Yes,
D1336,1/7/2025 11:15,Medication,6:30:00,No,No,
D1337,1/10/2025 3:13,Exercise,12:00:00,Yes,No,
D1338,1/10/2025 22:04,Exercise,8:00:00,Yes,No,
D1339,1/11/2025 6:44,Medication,21:30:00,Yes,No,
D1340,1/3/2025 1:46,Medication,19:00:00,Yes,Yes,
D1341,1/22/2025 9:15,Exercise,12:30:00,Yes,Yes,
D1342,1/21/2025 20:09,Exercise,21:00:00,Yes,No,
D1343,1/29/2025 21:04,Medication,8:30:00,Yes,Yes,
D1344,1/8/2025 3:55,Medication,14:30:00,No,No,
D1345,1/10/2025 18:22,Exercise,16:00:00,No,No,
D1346,1/29/2025 22:38,Hydration,19:30:00,No,No,
D1347,1/27/2025 22:04,Medication,15:00:00,Yes,Yes,
D1348,1/4/2025 10:40,Medication,12:30:00,Yes,Yes,
D1349,1/12/2025 11:34,Medication,20:00:00,No,No,
D1350,1/3/2025 6:23,Exercise,7:00:00,No,No,
D1351,1/15/2025 10:31,Exercise,21:00:00,Yes,Yes,
D1352,1/17/2025 9:54,Medication,18:00:00,Yes,Yes,
D1353,1/12/2025 23:16,Exercise,9:00:00,No,No,
D1354,1/4/2025 21:27,Medication,14:00:00,Yes,Yes,
D1355,1/9/2025 7:03,Medication,20:30:00,Yes,Yes,
D1356,1/12/2025 13:06,Hydration,11:30:00,Yes,No,
D1357,1/10/2025 11:18,Medication,11:30:00,No,No,
D1358,1/4/2025 7:36,Hydration,11:30:00,No,No,
D1359,1/23/2025 19:36,Hydration,14:30:00,No,No,
D1360,1/22/2025 18:41,Appointment,17:30:00,No,No,
D1361,1/1/2025 6:34,Hydration,12:00:00,No,No,
D1362,1/5/2025 10:51,Medication,7:00:00,No,No,
D1363,1/21/2025 12:16,Exercise,20:00:00,Yes,Yes,
D1364,1/27/2025 22:59,Hydration,8:30:00,No,No,
D1365,1/6/2025 18:50,Medication,14:30:00,No,No,
D1366,1/20/2025 0:15,Medication,6:30:00,No,No,
D1367,1/2/2025 20:12,Medication,15:30:00,Yes,Yes,
D1368,1/21/2025 1:35,Hydration,12:00:00,Yes,Yes,
D1369,1/26/2025 15:49,Hydration,21:30:00,No,No,
D1370,1/11/2025 15:51,Appointment,13:00:00,No,No,
D1371,1/18/2025 1:31,Appointment,21:00:00,No,No,
D1372,1/11/2025 9:42,Exercise,20:30:00,Yes,No,
D1373,1/18/2025 13:54,Appointment,20:30:00,No,No,
D1374,1/13/2025 15:21,Hydration,14:00:00,Yes,No,
D1375,1/22/2025 4:37,Exercise,8:00:00,No,No,
D1376,1/19/2025 15:49,Exercise,8:30:00,No,No,
D1377,1/6/2025 8:07,Hydration,18:30:00,No,No,
D1378,1/30/2025 7:31,Medication,17:30:00,Yes,Yes,
D1379,1/30/2025 2:30,Exercise,19:30:00,No,No,
D1380,1/30/2025 9:11,Medication,17:30:00,No,No,
D1381,1/23/2025 7:59,Appointment,16:30:00,No,No,
D1382,1/27/2025 12:56,Medication,10:30:00,Yes,Yes,
D1383,1/4/2025 12:40,Exercise,16:00:00,Yes,Yes,
D1384,1/30/2025 21:40,Hydration,8:00:00,Yes,Yes,
D1385,1/4/2025 12:20,Appointment,13:30:00,No,No,
D1386,1/27/2025 20:38,Exercise,6:30:00,Yes,Yes,
D1387,1/1/2025 15:39,Medication,7:00:00,Yes,Yes,
D1388,1/28/2025 18:32,Appointment,17:00:00,No,No,
D1389,1/20/2025 3:07,Exercise,19:00:00,No,No,
D1390,1/11/2025 2:51,Hydration,17:00:00,Yes,Yes,
D1391,1/22/2025 21:30,Exercise,11:30:00,Yes,Yes,
D1392,1/6/2025 9:37,Appointment,8:30:00,No,No,
D1393,1/3/2025 17:14,Medication,10:30:00,Yes,No,
D1394,1/29/2025 20:20,Exercise,15:00:00,No,No,
D1395,1/5/2025 23:17,Exercise,17:30:00,No,No,
D1396,1/8/2025 1:02,Medication,15:00:00,Yes,Yes,
D1397,1/17/2025 18:16,Exercise,14:30:00,Yes,Yes,
D1398,1/27/2025 15:12,Exercise,21:00:00,No,No,
D1399,1/20/2025 6:57,Appointment,9:00:00,Yes,No,
D1400,1/19/2025 15:33,Appointment,9:00:00,Yes,No,
D1401,1/7/2025 12:28,Medication,12:00:00,Yes,Yes,
D1402,1/11/2025 22:47,Hydration,11:00:00,No,No,
D1403,1/28/2025 15:39,Exercise,15:30:00,No,No,
D1404,1/2/2025 11:21,Appointment,20:00:00,No,No,
D1405,1/2/2025 12:57,Exercise,12:00:00,No,No,
D1406,1/1/2025 15:24,Hydration,22:30:00,Yes,Yes,
D1407,1/22/2025 14:21,Hydration,20:00:00,No,No,
D1408,1/6/2025 22:18,Hydration,11:30:00,No,No,
D1409,1/27/2025 18:24,Appointment,16:00:00,No,No,
D1410,1/22/2025 6:12,Medication,10:00:00,Yes,Yes,
D1411,1/3/2025 13:15,Appointment,14:30:00,No,No,
D1412,1/11/2025 21:32,Medication,12:30:00,Yes,Yes,
D1413,1/20/2025 12:43,Exercise,14:00:00,Yes,Yes,
D1414,1/8/2025 13:29,Appointment,19:30:00,Yes,Yes,
D1415,1/21/2025 14:19,Appointment,21:00:00,Yes,Yes,
D1416,1/2/2025 11:51,Exercise,10:30:00,No,No,
D1417,1/17/2025 21:02,Appointment,15:00:00,Yes,Yes,
D1418,1/16/2025 20:06,Appointment,20:00:00,Yes,Yes,
D1419,1/19/2025 12:22,Medication,14:30:00,No,No,
D1420,1/11/2025 16:45,Hydration,6:00:00,Yes,Yes,
D1421,1/28/2025 6:26,Medication,14:30:00,No,No,
D1422,1/8/2025 3:22,Medication,13:30:00,No,No,
D1423,1/7/2025 2:34,Hydration,14:00:00,Yes,Yes,
D1424,1/18/2025 0:34,Appointment,12:00:00,Yes,Yes,
D1425,1/4/2025 12:33,Appointment,8:30:00,No,No,
D1426,1/8/2025 4:03,Hydration,15:30:00,No,No,
